Jornada,Minuto,jugador,Tipo de Gol
19,15,"VILLALONGA GÓMEZ, IKER",Normal
19,30,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
19,40,"GOMEZ SANTOS, JUAN",Normal
19,51,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
19,54,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
19,56,JOAN,Normal
19,17,"COMAS HUTTEN, PAU LLUIS",Normal
19,93,"GALLARDO DEL VALLE, BENJAMIN",Normal
19,19,"DIALLO CONDE, ABDOURAHAMANE",Normal
19,24,"MATAS OLIVER, PABLO",Penalti
19,30,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
19,31,"BELTRAN ALVAREZ, SERGIO",Normal
19,33,"GARCIA ALBA, JAVIER",Normal
19,73,"VALLS ANIORTE, TARIKU",Normal
19,63,"COULIBALY COULIBALY, MADANE",Normal
19,77,"MARTINEZ MUNTANER, SERGI",Normal
19,82,"LEBRERO BENITEZ, HUGO",Normal
19,68,"TUR HORRACH, HUG",Normal
19,37,"MARQUES BAGUR, JOAN",Normal
20,21,"LOPEZ MARI, PABLO",Normal
20,41,"MORELL SACRISTÁN, CARLOS",Normal
20,76,"GIL GOMILA, XAYRON",Normal
20,39,"CRESPI BARRERA, LEONARDO",Normal
20,65,"HERRERA IGLESIAS, ADRIAN",Normal
20,12,"MOLL PONS, ROBERTO",Normal
20,65,"GAETE MARTINEZ, ISMAEL",Normal
20,71,"SALORT MARIN, JORGE",Normal
20,45,"BAGUR MOYA, HUGO",Normal
20,60,"FAMIGLIETTI MARQUEZ, LUCA",Normal
20,85,"ALARCON CAVERO, JOEL",Normal
20,51,"FERRER RIGO, SEBASTIÀ",Normal
20,10,"POSTIGO GARAT, RAUL",Normal
20,24,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
20,76,"GRUBAC, NOA",Normal
21,9,"LOPEZ FERNANDEZ, MARC",Normal
21,45,"EL HABBOULA EL KORTOBI, ABDELMOIZE",Normal
